,method,error_test,subproblem,subproblem_id,dataset_id,num_boost_round
0,Vanilla,0.45673302400434235,classification,1,0,1
1,LASSO (Saabas),0.47604222959702314,classification,1,0,1
2,LASSO (Shap),0.4653294913212507,classification,1,0,1
3,Vanilla,0.46364516401657907,classification,1,0,2
4,LASSO (Saabas),0.4700948579808546,classification,1,0,2
5,LASSO (Shap),0.4711966639606331,classification,1,0,2
6,Vanilla,0.4684267490221379,classification,1,0,4
7,LASSO (Saabas),0.4914794166871008,classification,1,0,4
8,LASSO (Shap),0.4797310849448517,classification,1,0,4
9,Vanilla,0.4664440934271954,classification,1,0,8
10,LASSO (Saabas),0.48539470990289224,classification,1,0,8
11,LASSO (Shap),0.4683587510028592,classification,1,0,8
12,Vanilla,0.46107239869634253,classification,1,0,16
13,LASSO (Saabas),0.48451445545638716,classification,1,0,16
14,LASSO (Shap),0.4592636811419619,classification,1,0,16
15,Vanilla,0.4625326450009404,classification,1,0,32
16,LASSO (Saabas),0.4859901761461163,classification,1,0,32
17,LASSO (Shap),0.46881866758402,classification,1,0,32
18,Vanilla,0.4612732681187195,classification,1,0,64
19,LASSO (Saabas),0.47907773854955016,classification,1,0,64
20,LASSO (Shap),0.4665988372785079,classification,1,0,64
21,Vanilla,0.48887802171673134,classification,1,1,1
22,LASSO (Saabas),0.46741776967583426,classification,1,1,1
23,LASSO (Shap),0.47755409368312596,classification,1,1,1
24,Vanilla,0.47638281683442973,classification,1,1,2
25,LASSO (Saabas),0.4834271221367996,classification,1,1,2
26,LASSO (Shap),0.4880933660933662,classification,1,1,2
27,Vanilla,0.4761666006182135,classification,1,1,4
28,LASSO (Saabas),0.4876595070143458,classification,1,1,4
29,LASSO (Shap),0.4915475945153365,classification,1,1,4
30,Vanilla,0.4767106285170801,classification,1,1,8
31,LASSO (Saabas),0.49418482999128166,classification,1,1,8
32,LASSO (Shap),0.4816664817309979,classification,1,1,8
33,Vanilla,0.47880605532218434,classification,1,1,16
34,LASSO (Saabas),0.506202266782912,classification,1,1,16
35,LASSO (Shap),0.4930761670761671,classification,1,1,16
36,Vanilla,0.4829965918998177,classification,1,1,32
37,LASSO (Saabas),0.5038711262582231,classification,1,1,32
38,LASSO (Shap),0.4844132519616391,classification,1,1,32
39,Vanilla,0.49113846397717364,classification,1,1,64
40,LASSO (Saabas),0.49497344852183567,classification,1,1,64
41,LASSO (Shap),0.47665911072362677,classification,1,1,64
42,Vanilla,0.47453436207507016,classification,1,2,1
43,LASSO (Saabas),0.4744149962397678,classification,1,2,1
44,LASSO (Shap),0.4736425228073511,classification,1,2,1
45,Vanilla,0.4708727907593335,classification,1,2,2
46,LASSO (Saabas),0.4791568353129442,classification,1,2,2
47,LASSO (Shap),0.4775415751621236,classification,1,2,2
48,Vanilla,0.48345150412069215,classification,1,2,4
49,LASSO (Saabas),0.47461454145454574,classification,1,2,4
50,LASSO (Shap),0.4691606761414514,classification,1,2,4
51,Vanilla,0.49125016466648996,classification,1,2,8
52,LASSO (Saabas),0.4942689113557903,classification,1,2,8
53,LASSO (Shap),0.4805146043196259,classification,1,2,8
54,Vanilla,0.4891057484029435,classification,1,2,16
55,LASSO (Saabas),0.5030851691215175,classification,1,2,16
56,LASSO (Shap),0.4957228400342173,classification,1,2,16
57,Vanilla,0.48368829036441185,classification,1,2,32
58,LASSO (Saabas),0.5101806968074434,classification,1,2,32
59,LASSO (Shap),0.49567684458429284,classification,1,2,32
60,Vanilla,0.4914441515187391,classification,1,2,64
61,LASSO (Saabas),0.5144978769834322,classification,1,2,64
62,LASSO (Shap),0.49718357770674193,classification,1,2,64
63,Vanilla,0.43921222734413223,classification,1,3,1
64,LASSO (Saabas),0.48943848250845245,classification,1,3,1
65,LASSO (Shap),0.509048918941788,classification,1,3,1
66,Vanilla,0.4471646365017641,classification,1,3,2
67,LASSO (Saabas),0.48259435576141296,classification,1,3,2
68,LASSO (Shap),0.4910914328390057,classification,1,3,2
69,Vanilla,0.4381250988716674,classification,1,3,4
70,LASSO (Saabas),0.4639897430992175,classification,1,3,4
71,LASSO (Shap),0.4848889142327375,classification,1,3,4
72,Vanilla,0.4412295772523426,classification,1,3,8
73,LASSO (Saabas),0.4658299517690211,classification,1,3,8
74,LASSO (Shap),0.4749772825099239,classification,1,3,8
75,Vanilla,0.4347772582288819,classification,1,3,16
76,LASSO (Saabas),0.4815388662224953,classification,1,3,16
77,LASSO (Shap),0.48405250591390536,classification,1,3,16
78,Vanilla,0.43932921781934164,classification,1,3,32
79,LASSO (Saabas),0.49694003686303656,classification,1,3,32
80,LASSO (Shap),0.49830970836996946,classification,1,3,32
81,Vanilla,0.4411685067527049,classification,1,3,64
82,LASSO (Saabas),0.5102031881743967,classification,1,3,64
83,LASSO (Shap),0.4911041252018822,classification,1,3,64
84,Vanilla,0.46633976063829785,classification,2,0,1
85,LASSO (Saabas),0.4986970229924502,classification,2,0,1
86,LASSO (Shap),0.5301239704873026,classification,2,0,1
87,Vanilla,0.47312542896362375,classification,2,0,2
88,LASSO (Saabas),0.49142072752230614,classification,2,0,2
89,LASSO (Shap),0.5216358527796843,classification,2,0,2
90,Vanilla,0.4572242836307481,classification,2,0,4
91,LASSO (Saabas),0.4959007163692518,classification,2,0,4
92,LASSO (Shap),0.491141901166781,classification,2,0,4
93,Vanilla,0.4825545856211394,classification,2,0,8
94,LASSO (Saabas),0.48668067947838023,classification,2,0,8
95,LASSO (Shap),0.47358656485929984,classification,2,0,8
96,Vanilla,0.4725248798901853,classification,2,0,16
97,LASSO (Saabas),0.5405960449553877,classification,2,0,16
98,LASSO (Shap),0.5176518531228551,classification,2,0,16
99,Vanilla,0.4789700583390528,classification,2,0,32
100,LASSO (Saabas),0.5235501029512697,classification,2,0,32
101,LASSO (Shap),0.4907880061770762,classification,2,0,32
102,Vanilla,0.4823695950583391,classification,2,0,64
