,method,auc_noisy,elapsed,subproblem,subproblem_id,dataset_id,num_boost_round
0,TotalGain-oob (Saabas),0.4906666666666667,0.052408456802368164,classification,1,0,1
1,TotalGain-oob (Shap),0.6773333333333332,0.07389974594116211,classification,1,0,1
2,TotalGain,0.784,0.20766019821166992,classification,1,0,1
3,TotalGain (Shap),0.7786666666666667,0.22577691078186035,classification,1,0,1
4,Permutation (perm_round = 5),0.32000000000000006,3.570241928100586,classification,1,0,1
5,TotalGain-oob (Saabas),0.568,0.2273716926574707,classification,1,0,2
6,TotalGain-oob (Shap),0.768,0.24870610237121582,classification,1,0,2
7,TotalGain,0.8213333333333334,0.5518813133239746,classification,1,0,2
8,TotalGain (Shap),0.856,0.09463191032409668,classification,1,0,2
9,Permutation (perm_round = 5),0.2773333333333333,3.1359200477600098,classification,1,0,2
10,TotalGain-oob (Saabas),0.68,0.35045623779296875,classification,1,0,4
11,TotalGain-oob (Shap),0.9173333333333333,0.282989501953125,classification,1,0,4
12,TotalGain,0.8613333333333334,0.5448341369628906,classification,1,0,4
13,TotalGain (Shap),0.9253333333333335,0.15476107597351074,classification,1,0,4
14,Permutation (perm_round = 5),0.30666666666666664,3.157536029815674,classification,1,0,4
15,TotalGain-oob (Saabas),0.7733333333333333,0.4673004150390625,classification,1,0,8
16,TotalGain-oob (Shap),0.936,0.347944974899292,classification,1,0,8
17,TotalGain,0.8133333333333334,0.7152040004730225,classification,1,0,8
18,TotalGain (Shap),0.872,0.29913973808288574,classification,1,0,8
19,Permutation (perm_round = 5),0.17333333333333334,3.277221441268921,classification,1,0,8
20,TotalGain-oob (Saabas),0.7466666666666667,3.0467255115509033,classification,1,0,16
21,TotalGain-oob (Shap),0.9093333333333333,0.5661845207214355,classification,1,0,16
22,TotalGain,0.792,0.976233720779419,classification,1,0,16
23,TotalGain (Shap),0.8613333333333333,0.7484743595123291,classification,1,0,16
24,Permutation (perm_round = 5),0.144,3.456789493560791,classification,1,0,16
25,TotalGain-oob (Saabas),0.7173333333333333,1.0121209621429443,classification,1,0,32
26,TotalGain-oob (Shap),0.8693333333333333,1.1431050300598145,classification,1,0,32
27,TotalGain,0.776,8.824986219406128,classification,1,0,32
28,TotalGain (Shap),0.832,1.2229809761047363,classification,1,0,32
29,Permutation (perm_round = 5),0.17866666666666667,5.106748342514038,classification,1,0,32
30,TotalGain-oob (Saabas),0.7066666666666667,2.2835843563079834,classification,1,0,64
31,TotalGain-oob (Shap),0.7999999999999999,2.3948757648468018,classification,1,0,64
32,TotalGain,0.7626666666666666,7.477623701095581,classification,1,0,64
33,TotalGain (Shap),0.8053333333333333,3.130364418029785,classification,1,0,64
34,Permutation (perm_round = 5),0.192,4.867143869400024,classification,1,0,64
35,TotalGain-oob (Saabas),0.552,0.13453078269958496,classification,1,1,1
36,TotalGain-oob (Shap),0.552,0.07024264335632324,classification,1,1,1
37,TotalGain,0.7986666666666666,0.2238161563873291,classification,1,1,1
38,TotalGain (Shap),0.8493333333333335,0.8740160465240479,classification,1,1,1
39,Permutation (perm_round = 5),0.47733333333333333,5.515756130218506,classification,1,1,1
40,TotalGain-oob (Saabas),0.6746666666666667,0.3378269672393799,classification,1,1,2
41,TotalGain-oob (Shap),0.6826666666666668,0.18851876258850098,classification,1,1,2
42,TotalGain,0.8293333333333333,3.421006202697754,classification,1,1,2
43,TotalGain (Shap),0.9306666666666666,0.08058857917785645,classification,1,1,2
44,Permutation (perm_round = 5),0.5946666666666667,3.629491090774536,classification,1,1,2
45,TotalGain-oob (Saabas),0.6613333333333333,0.39165401458740234,classification,1,1,4
46,TotalGain-oob (Shap),0.688,0.9081394672393799,classification,1,1,4
47,TotalGain,0.6986666666666667,0.49005746841430664,classification,1,1,4
48,TotalGain (Shap),0.9226666666666666,0.14163565635681152,classification,1,1,4
49,Permutation (perm_round = 5),0.3093333333333334,10.500640153884888,classification,1,1,4
50,TotalGain-oob (Saabas),0.6373333333333333,0.4771230220794678,classification,1,1,8
51,TotalGain-oob (Shap),0.6960000000000001,17.798084020614624,classification,1,1,8
52,TotalGain,0.6506666666666667,1.6211247444152832,classification,1,1,8
53,TotalGain (Shap),0.8533333333333333,0.27637815475463867,classification,1,1,8
54,Permutation (perm_round = 5),0.42933333333333334,3.3254826068878174,classification,1,1,8
55,TotalGain-oob (Saabas),0.6573333333333333,0.7339513301849365,classification,1,1,16
56,TotalGain-oob (Shap),0.7213333333333334,2.2756710052490234,classification,1,1,16
57,TotalGain,0.5253333333333333,2.964860677719116,classification,1,1,16
58,TotalGain (Shap),0.7626666666666667,0.6020841598510742,classification,1,1,16
59,Permutation (perm_round = 5),0.4786666666666667,3.398799180984497,classification,1,1,16
60,TotalGain-oob (Saabas),0.7146666666666667,3.498352527618408,classification,1,1,32
61,TotalGain-oob (Shap),0.7973333333333333,0.9882297515869141,classification,1,1,32
62,TotalGain,0.5253333333333334,3.9705920219421387,classification,1,1,32
63,TotalGain (Shap),0.7386666666666666,1.2185304164886475,classification,1,1,32
64,Permutation (perm_round = 5),0.43200000000000005,4.025774717330933,classification,1,1,32
65,TotalGain-oob (Saabas),0.6880000000000001,2.14388370513916,classification,1,1,64
66,TotalGain-oob (Shap),0.8266666666666667,4.753753662109375,classification,1,1,64
67,TotalGain,0.52,15.927606582641602,classification,1,1,64
68,TotalGain (Shap),0.6453333333333333,3.2448720932006836,classification,1,1,64
69,Permutation (perm_round = 5),0.272,9.718029737472534,classification,1,1,64
70,TotalGain-oob (Saabas),0.5893333333333333,0.04439425468444824,classification,1,2,1
71,TotalGain-oob (Shap),0.572,0.1711270809173584,classification,1,2,1
72,TotalGain,0.6933333333333332,0.22098779678344727,classification,1,2,1
73,TotalGain (Shap),0.7093333333333334,0.13814616203308105,classification,1,2,1
74,Permutation (perm_round = 5),0.4533333333333333,3.357877731323242,classification,1,2,1
75,TotalGain-oob (Saabas),0.5693333333333334,0.26484203338623047,classification,1,2,2
76,TotalGain-oob (Shap),0.548,3.3776872158050537,classification,1,2,2
77,TotalGain,0.7466666666666667,1.6739716529846191,classification,1,2,2
78,TotalGain (Shap),0.8186666666666668,0.11812138557434082,classification,1,2,2
79,Permutation (perm_round = 5),0.5053333333333333,4.765893459320068,classification,1,2,2
80,TotalGain-oob (Saabas),0.7973333333333333,1.1591882705688477,classification,1,2,4
81,TotalGain-oob (Shap),0.8,0.28148913383483887,classification,1,2,4
82,TotalGain,0.7533333333333334,0.5398685932159424,classification,1,2,4
